empleado_id,nombre,apellido,email,telefono,fecha_nacimiento,fecha_ingreso,depto_id,puesto_id,estado
E1200,Hernán,Núñez,hernan.nunez@techba.com,11-9491-4974,23/10/1997,2019/07/08,D09,P18,activo
E1058,Antonella,Benítez,antonella.benitez@techba.com,11-8227-9595,04/05/1994,2024-04-10,D04,P10,activo
E1185,Diego,Acosta,diego.acosta@techba.com,11-3227-3695,1985-09-15,07/11/2018,D12,P12,activo
E1131,Pilar,Ríos,pilar.rios@techba.com,11-2668-7142,1982-01-11,21-12-2018,D06,P13,activo
E1020,  Ariel  ,Gutiérrez,ariel.gutierrez@techba.com,11-3955-5351,22-03-1987,15-05-2023,D06,P13,activo
E1183,Micaela,Herrera,micaela.herrera@techba.com,11-3795-3188,1990/03/15,12-10-2023,D07,P16,activo
E1186,Agustina,Martínez,agustina.martinez@techba.com,11-5714-3161,15-07-1991,2022/01/18,D08,P20,activo
E1002,Ezequiel,López,ezequiel.lopez@techba.com,11-8594-6168,03-05-1987,23-10-2019,D06,P13,activo
E1033,Paula,Romero,paula.romero@techba.com,11-3571-7888,1996-07-22,20-03-2023,D10,P19,activo
E1031,Bruno,Carrasco,bruno.carrasco@techba.com,11-3557-5173,1976/12/14,2018-09-26,D09,P17,activo
E1157,Aldana,Gómez,aldana.gomez@techba.com,11-3671-6573,11-03-1994,11/12/2024,D12,P12,inactivo
E1171,Ezequiel,Ortiz,ezequiel.ortiz@techba.com,11-6571-5890,25-05-1982,07/12/2020,D12,P12,activo
E1035,Agustina,Álvarez,AGUSTINA.ALVAREZ@TECHBA.COM,11-7397-2389,1984/09/22,11-10-2023,D02,P05,activo
E1028,  Bruno  ,López,BRUNO.LOPEZ@TECHBA.COM,11-9033-8711,1982/04/27,10-06-2021,D04,P10,activo
E1132,Carla,Núñez,carla.nunez@techba.com,11-7702-3273,1999/12/16,01/10/2021,D02,P05,activo
E1192,Ezequiel,Jiménez,ezequiel.jimenez@techba.com,11-2551-2653,1994-01-15,2022/11/23,D01,P02,activo
E1101,  Rocío  ,Ferreira,rocio.ferreira@techba.com,11-6959-8048,04/12/1978,21-11-2024,D09,P17,activo
E1059,Marcos,Acosta,marcos.acosta@techba.com,11-3036-5494,18/01/1976,2020/12/05,D11,P20,activo
E1107,Camila,Torres,camila.torres@techba.com,11-8070-1502,17-12-1977,14-07-2019,D08,P20,activo
E1102,  Cristian  ,Flores,cristian.flores@techba.com,11-8778-8430,24-07-1987,14-06-2018,D06,P14,activo
E1027,Martín,Álvarez,martin.alvarez@techba.com,11-9997-3900,06/01/1988,26/06/2023,D07,P15,activo
E1034,Franco,Vargas,franco.vargas@techba.com,11-3721-8043,2000-10-20,15-06-2023,D08,P20,activo
E1116,Ramiro,Morales,ramiro.morales@techba.com,11-3421-3504,03-11-1999,2019-11-16,D08,P20,activo
E1087,Iván,Pérez,ivan.perez@techba.com,11-9400-1645,02/08/1984,24-06-2022,D03,P08,inactivo
E1012,Ailén,Cabrera,ailen.cabrera@techba.com,11-3755-9834,1979-12-19,2022-08-08,D08,P20,activo
E1095,Ignacio,Gómez,ignacio.gomez@techba.com,11-2750-4475,1995/11/20,2018/01/26,D06,P13,inactivo
E1073,  Camila  ,Herrera,camila.herrera@techba.com,11-8892-2858,21/02/1989,2024/03/16,D12,P12,activo
E1130,Ramiro,Vera,ramiro.vera@techba.com,11-9416-9410,03/07/1979,2019/08/12,D01,P04,activo
E1074,  Daniela  ,Núñez,daniela.nunez@techba.com,11-5868-4993,1989/09/05,20-04-2021,D09,P17,inactivo
E1094,Julieta,Vera,julieta.vera@techba.com,11-5642-4868,1986/02/22,2020/09/21,D06,P13,activo
E1066,  Tomás  ,Ramos,tomas.ramos@techba.com,11-6874-5728,15-02-1989,23/05/2023,D07,P16,activo
E1090,Camila,Molina,camila.molina@techba.com,11-2114-5332,1992/02/15,24/11/2020,D11,P20,activo
E1025,Nicolás,Torres,nicolas.torres@techba.com,11-6469-1590,1986-10-18,2019/07/05,D01,P03,activo
E1004,  Micaela  ,Herrera,micaela.herrera@techba.com,11-3133-9348,25/02/1990,05-02-2018,D11,P20,activo
E1176,Catalina,Vargas,catalina.vargas@techba.com,11-7291-1969,21-02-1999,2022-04-18,D12,P11,inactivo
E1173,Cecilia,Rodríguez,CECILIA.RODRIGUEZ@TECHBA.COM,11-4837-8247,24/05/1995,07/04/2021,D09,P18,inactivo
E1088,Gabriela,Suárez,gabriela.suarez@techba.com,11-3438-4289,12/09/1979,09-09-2022,D03,P09,inactivo
E1053,Ramiro,Vera,ramiro.vera@techba.com,11-3997-8613,22/10/1993,01-06-2021,D08,P20,activo
E1091,Sofía,Herrera,sofia.herrera@techba.com,11-5862-1410,11/09/1994,21/04/2022,D02,P07,activo
E1054,Maximiliano,Castro,maximiliano.castro@techba.com,11-4788-5581,09/12/1994,2022/01/17,D04,P10,activo
E1014,Agustina,Pérez,agustina.perez@techba.com,11-4036-4139,1981/09/15,06-07-2019,D05,P12,activo
E1110,Emilia,Ramos,emilia.ramos@techba.com,11-2372-4612,02/10/1987,10/04/2018,D04,P10,activo
E1148,Ailén,Mendoza,ailen.mendoza@techba.com,11-7812-2063,1992/09/10,23-03-2020,D12,P11,activo
E1154,  Diego  ,Benítez,diego.benitez@techba.com,11-3263-3804,1996-10-24,2022/06/27,D10,P19,activo
E1170,Sebastián,Acosta,sebastian.acosta@techba.com,11-4804-9950,1986-11-25,22-12-2024,D11,P20,activo
E1050,Jimena,Rojas,jimena.rojas@techba.com,11-8598-2983,2000/10/26,18/06/2018,D07,P16,activo
E1119,Rocío,Benítez,rocio.benitez@techba.com,11-6540-1672,1989/10/21,20-06-2019,D08,P20,inactivo
E1172,Paula,Ortiz,paula.ortiz@techba.com,11-4357-2996,1993/11/18,27/07/2021,D06,P13,activo
E1006,Tatiana,Flores,tatiana.flores@techba.com,11-2913-5808,1988/03/15,24-12-2018,D05,P11,activo
E1168,Agustín,Carrasco,agustin.carrasco@techba.com,11-9767-2800,1981-01-15,2020/07/05,D07,P15,activo
E1011,  Diego  ,Herrera,diego.herrera@techba.com,11-2058-2163,1997-11-02,2019-02-02,D06,P13,activo
E1086,Pablo,Rojas,pablo.rojas@techba.com,11-8104-9138,20/04/1984,08-06-2024,D11,P20,activo
E1195,Paula,Cabrera,paula.cabrera@techba.com,11-2384-6642,13/11/1995,11/09/2024,D12,P12,activo
E1189,Rocío,Ríos,rocio.rios@techba.com,11-5077-2314,1996-11-28,21/03/2022,D06,P13,activo
E1067,Rocío,Rodríguez,rocio.rodriguez@techba.com,11-6899-1653,1988/12/11,01-05-2022,D02,P05,inactivo
E1096,Nicolás,Ponce,NICOLAS.PONCE@TECHBA.COM,11-3697-4538,25/06/1982,01-10-2019,D05,P11,inactivo
E1022,Lorena,Ibáñez,lorena.ibanez@techba.com,11-2064-5905,05/02/1996,04-02-2020,D12,P11,activo
E1097,Agustina,Ruiz,agustina.ruiz@techba.com,11-2900-1422,12-01-1979,19/04/2024,D06,P13,activo
E1032,Ariel,Flores,ariel.flores@techba.com,11-7104-6143,1996/02/24,10-09-2020,D11,P20,activo
E1179,Rodrigo,Álvarez,rodrigo.alvarez@techba.com,11-7989-8518,1995/05/23,24-01-2019,D06,P14,activo
E1164,Emilia,López,emilia.lopez@techba.com,11-2371-1637,1979/12/11,17/08/2024,D08,P20,activo
E1181,Matías,Castro,matias.castro@techba.com,11-5142-4858,1989-05-11,2020/10/24,D10,P19,activo
E1065,Pablo,Castro,pablo.castro@techba.com,11-8453-4241,1988-02-18,2019-11-05,D05,P11,activo
E1077,Martín,Suárez,martin.suarez@techba.com,11-2357-6213,23-08-1998,2024/07/13,D11,P20,activo
E1084,Valeria,Ramos,valeria.ramos@techba.com,11-7234-7951,1997/05/15,07-05-2024,D07,P16,activo
E1193,Rocío,Herrera,rocio.herrera@techba.com,11-6421-4559,05/01/1999,2022-05-08,D12,P12,activo
E1177,Cristian,Ruiz,cristian.ruiz@techba.com,11-9650-1595,1987/08/06,2023/05/02,D01,P03,activo
E1093,Ailén,Acosta,ailen.acosta@techba.com,11-5433-3531,04/11/1988,2024/08/20,D07,P16,activo
E1120,Sofía,Flores,sofia.flores@techba.com,11-7851-2381,1991-11-06,2018-04-23,D08,P20,activo
E1075,Tatiana,Suárez,tatiana.suarez@techba.com,11-4784-9318,1983-01-10,2023-05-27,D10,P19,inactivo
E1114,Ezequiel,Peralta,ezequiel.peralta@techba.com,11-6824-7560,13-02-1991,2024/05/24,D06,P13,activo
E1038,Valentina,Ponce,valentina.ponce@techba.com,11-4041-2988,1989/03/26,2021-11-17,D09,P18,inactivo
E1040,Tatiana,Ibáñez,tatiana.ibanez@techba.com,11-5969-4919,03/08/1983,2023/05/08,D05,P12,activo
E1134,Camila,Sánchez,camila.sanchez@techba.com,11-8854-9189,01-09-1994,19/09/2023,D04,P10,activo
E1081,Sebastián,Álvarez,sebastian.alvarez@techba.com,11-7685-5906,11/01/1975,10-01-2024,D06,P14,activo
E1112,  Camila  ,Molina,camila.molina@techba.com,11-9059-1693,15-01-1988,2018/06/19,D07,P16,activo
E1124,Emilia,Aguilar,emilia.aguilar@techba.com,11-2149-6940,07-03-1984,2020-08-07,D04,P10,activo
E1191,Ezequiel,Gómez,ezequiel.gomez@techba.com,11-4835-3541,1983-04-24,02-02-2024,D11,P20,activo
E1117,Jimena,Gutiérrez,jimena.gutierrez@techba.com,11-3236-8205,1977/08/15,26/05/2023,D05,P11,activo
